region_id,make_model,number_deployed,equipment_type
2621,DS200 (ES&S),4,Scanner
2622,ExpressVote (ES&S),29,Ballot Marking Device
2622,DS450 (ES&S),2,Scanner
2623,ExpressVote (ES&S),12,Ballot Marking Device
2623,DS450 (ES&S),1,Scanner
2624,ExpressVote (ES&S),12,Ballot Marking Device
2624,DS450 (ES&S),1,Scanner
2625,ExpressVote (ES&S),31,Ballot Marking Device
2625,DS450 (ES&S),1,Scanner
2626,ExpressVote (ES&S),1,Ballot Marking Device
2626,DS450 (ES&S),1,Scanner
2627,ExpressVote (ES&S),6,Ballot Marking Device
2627,DS200 (ES&S),6,Scanner
2628,ExpressVote (ES&S),1,Ballot Marking Device
2628,DS450 (ES&S),1,Scanner
2629,ExpressVote (ES&S),10,Ballot Marking Device
2629,DS450 (ES&S),1,Scanner
2630,ExpressVote (ES&S),1,Ballot Marking Device
2630,DS450 (ES&S),1,Scanner
2631,ExpressVote (ES&S),6,Ballot Marking Device
2631,DS450 (ES&S),1,Scanner
2632,ExpressVote (ES&S),6,Ballot Marking Device
2632,DS450 (ES&S),1,Scanner
2633,ExpressVote (ES&S),19,Ballot Marking Device
2633,DS450 (ES&S),1,Scanner
2634,ExpressVote (ES&S),13,Ballot Marking Device
2634,DS450 (ES&S),1,Scanner
2635,ExpressVote (ES&S),1,Ballot Marking Device
2635,DS450 (ES&S),1,Scanner
2636,ExpressVote (ES&S),21,Ballot Marking Device
2636,DS450 (ES&S),1,Scanner
2637,ExpressVote (ES&S),4,Ballot Marking Device
2637,DS450 (ES&S),1,Scanner
2638,ExpressVote (ES&S),1,Ballot Marking Device
2638,DS450 (ES&S),1,Scanner
2639,ExpressVote (ES&S),33,Ballot Marking Device
2639,DS450 (ES&S),1,Scanner
2640,ExpressVote (ES&S),234,Ballot Marking Device
2640,DS850 (ES&S),9,Scanner
2641,ExpressVote (ES&S),5,Ballot Marking Device
2641,DS200 (ES&S),5,Scanner
2642,ExpressVote (ES&S),8,Ballot Marking Device
2642,DS450 (ES&S),1,Scanner
2643,ExpressVote (ES&S),5,Ballot Marking Device
2643,DS450 (ES&S),1,Scanner
2644,ExpressVote (ES&S),6,Ballot Marking Device
2644,DS200 (ES&S),5,Scanner
2645,ExpressVote (ES&S),9,Ballot Marking Device
2645,DS450 (ES&S),1,Scanner
2646,ExpressVote (ES&S),11,Ballot Marking Device
2646,DS850 (ES&S),1,Scanner
2647,ExpressVote (ES&S),1,Ballot Marking Device
2647,DS450 (ES&S),1,Scanner
2648,ExpressVote (ES&S),3,Ballot Marking Device
2648,DS200 (ES&S),2,Scanner
2649,ExpressVote (ES&S),4,Ballot Marking Device
2649,DS450 (ES&S),1,Scanner
2650,ExpressVote (ES&S),2,Ballot Marking Device
2650,DS200 (ES&S),1,Scanner
2651,ExpressVote (ES&S),5,Ballot Marking Device
2651,DS450 (ES&S),1,Scanner
2652,ExpressVote (ES&S),25,Ballot Marking Device
2652,DS850 (ES&S),2,Scanner
2653,ExpressVote (ES&S),6,Ballot Marking Device
2653,DS450 (ES&S),1,Scanner
2654,ExpressVote (ES&S),2,Ballot Marking Device
2654,DS450 (ES&S),1,Scanner
2655,ExpressVote (ES&S),4,Ballot Marking Device
2655,DS200 (ES&S),4,Scanner
2656,ExpressVote (ES&S),5,Ballot Marking Device
2656,DS450 (ES&S),1,Scanner
2657,ExpressVote (ES&S),14,Ballot Marking Device
2657,DS450 (ES&S),1,Scanner
2658,ExpressVote (ES&S),2,Ballot Marking Device
2658,DS200 (ES&S),2,Scanner
2659,ExpressVote (ES&S),9,Ballot Marking Device
2659,DS450 (ES&S),1,Scanner
2660,ExpressVote (ES&S),11,Ballot Marking Device
2660,DS450 (ES&S),1,Scanner
2661,ExpressVote (ES&S),7,Ballot Marking Device
2661,DS450 (ES&S),1,Scanner
2662,ExpressVote (ES&S),10,Ballot Marking Device
2662,DS450 (ES&S),1,Scanner
2663,ExpressVote (ES&S),10,Ballot Marking Device
2663,DS450 (ES&S),1,Scanner
2664,ExpressVote (ES&S),4,Ballot Marking Device
2664,DS200 (ES&S),4,Scanner
2665,ExpressVote (ES&S),6,Ballot Marking Device
2665,DS200 (ES&S),6,Scanner
2666,ExpressVote (ES&S),1,Ballot Marking Device
2666,DS450 (ES&S),1,Scanner
2667,ExpressVote (ES&S),199,Ballot Marking Device
2667,DS850 (ES&S),6,Scanner
2668,ExpressVote (ES&S),25,Ballot Marking Device
2668,DS850 (ES&S),1,Scanner
2669,ExpressVote (ES&S),2,Ballot Marking Device
2669,DS200 (ES&S),1,Scanner
2670,ExpressVote (ES&S),2,Ballot Marking Device
2670,DS200 (ES&S),1,Scanner
2671,ExpressVote (ES&S),2,Ballot Marking Device
2671,DS200 (ES&S),1,Scanner
2672,ExpressVote (ES&S),20,Ballot Marking Device
2672,DS450 (ES&S),2,Scanner
2673,ExpressVote (ES&S),1,Ballot Marking Device
2673,DS450 (ES&S),1,Scanner
2674,ExpressVote (ES&S),1,Ballot Marking Device
2674,DS450 (ES&S),1,Scanner
2675,ExpressVote (ES&S),5,Ballot Marking Device
2675,DS450 (ES&S),1,Scanner
2676,ExpressVote (ES&S),10,Ballot Marking Device
2676,DS450 (ES&S),1,Scanner
2677,ExpressVote (ES&S),5,Ballot Marking Device
2677,DS450 (ES&S),1,Scanner
2678,ExpressVote (ES&S),11,Ballot Marking Device
2678,DS450 (ES&S),1,Scanner
2679,ExpressVote (ES&S),6,Ballot Marking Device
2679,DS200 (ES&S),6,Scanner
2680,ExpressVote (ES&S),3,Ballot Marking Device
2680,DS450 (ES&S),1,Scanner
2681,ExpressVote (ES&S),8,Ballot Marking Device
2681,DS450 (ES&S),1,Scanner
2682,ExpressVote (ES&S),6,Ballot Marking Device
2682,DS450 (ES&S),1,Scanner
2683,ExpressVote (ES&S),28,Ballot Marking Device
2683,DS450 (ES&S),1,Scanner
2684,ExpressVote (ES&S),9,Ballot Marking Device
2684,DS450 (ES&S),1,Scanner
2685,ExpressVote (ES&S),14,Ballot Marking Device
2685,DS450 (ES&S),1,Scanner
2686,ExpressVote (ES&S),12,Ballot Marking Device
2686,DS200 (ES&S),12,Scanner
2687,ExpressVote (ES&S),2,Ballot Marking Device
2687,DS200 (ES&S),2,Scanner
2688,ExpressVote (ES&S),10,Ballot Marking Device
2688,DS450 (ES&S),1,Scanner
2689,ExpressVote (ES&S),82,Ballot Marking Device
2689,DS450 (ES&S),3,Scanner
2690,ExpressVote (ES&S),20,Ballot Marking Device
2690,DS450 (ES&S),1,Scanner
2691,ExpressVote (ES&S),30,Ballot Marking Device
2691,DS450 (ES&S),1,Scanner
2692,ExpressVote (ES&S),17,Ballot Marking Device
2692,DS450 (ES&S),1,Scanner
2693,ExpressVote (ES&S),9,Ballot Marking Device
2693,DS450 (ES&S),1,Scanner
2694,ExpressVote (ES&S),7,Ballot Marking Device
2694,DS450 (ES&S),1,Scanner
2695,ExpressVote (ES&S),3,Ballot Marking Device
2695,DS200 (ES&S),2,Scanner
2696,ExpressVote (ES&S),1,Ballot Marking Device
2696,DS450 (ES&S),1,Scanner
2697,ExpressVote (ES&S),3,Ballot Marking Device
2697,DS450 (ES&S),1,Scanner
2698,ExpressVote (ES&S),2,Ballot Marking Device
2698,DS200 (ES&S),1,Scanner
2699,ExpressVote (ES&S),7,Ballot Marking Device
2699,DS450 (ES&S),1,Scanner
2700,ExpressVote (ES&S),8,Ballot Marking Device
2700,DS450 (ES&S),1,Scanner
2701,ExpressVote (ES&S),16,Ballot Marking Device
2701,DS450 (ES&S),1,Scanner
2702,ExpressVote (ES&S),5,Ballot Marking Device
2702,DS450 (ES&S),1,Scanner
2703,ExpressVote (ES&S),6,Ballot Marking Device
2703,DS450 (ES&S),1,Scanner
2704,ExpressVote (ES&S),2,Ballot Marking Device
2704,DS200 (ES&S),2,Scanner
2705,ExpressVote (ES&S),13,Ballot Marking Device
2705,DS450 (ES&S),1,Scanner
2706,ImageCast X/ICX DRE (Dominion),63,DRE with VVPAT
2706,ImageCast Central/ICC (Dominion),1,Scanner
2706,ImageCast Central/ICC (Dominion),1,Scanner
2706,ImageCast Central/ICC (Dominion),1,Scanner
2707,ImageCast X/ICX DRE (Dominion),3197,DRE with VVPAT
2707,Other: INTERSCAN HI-PRO 8X1,6,Scanner
2708,ImageCast X/ICX DRE (Dominion),132,DRE with VVPAT
2708,ImageCast Central/ICC (Dominion),2,Scanner
2709,ImageCast X/ICX DRE (Dominion),64,DRE with VVPAT
2709,ImageCast Central/ICC (Dominion),2,Scanner
2710,ImageCast X/ICX BMD (Dominion),2,Ballot Marking Device
2710,ImageCast Central/ICC (Dominion),1,Scanner
2711,ImageCast X/ICX BMD (Dominion),8,Ballot Marking Device
2711,ImageCast Central/ICC (Dominion),1,Scanner
2712,ImageCast X/ICX DRE (Dominion),36,DRE with VVPAT
2712,ImageCast Central/ICC (Dominion),2,Scanner
2713,ExpressVote (ES&S),20,Ballot Marking Device
2713,DS450 (ES&S),1,Scanner
2714,ImageCast X/ICX DRE (Dominion),21,DRE with VVPAT
2714,ImageCast Central/ICC (Dominion),1,Scanner
2715,ImageCast X/ICX DRE (Dominion),134,DRE with VVPAT
2715,ImageCast X/ICX DRE (Dominion),0,DRE with VVPAT
2715,ImageCast Central/ICC (Dominion),2,Scanner
2715,ImageCast Central/ICC (Dominion),0,Scanner
2716,ImageCast X/ICX BMD (Dominion),12,Ballot Marking Device
2716,ImageCast Central/ICC (Dominion),1,Scanner
2716,ImageCast Precint2/ICP2,1,Scanner
2717,ImageCast X/ICX DRE (Dominion),26,DRE with VVPAT
2717,ImageCast Central/ICC (Dominion),1,Scanner
2718,ImageCast X/ICX DRE (Dominion),20,DRE with VVPAT
2718,ImageCast Central/ICC (Dominion),1,Scanner
2719,ImageCast X/ICX DRE (Dominion),22,DRE with VVPAT
2719,ImageCast Central/ICC (Dominion),1,Scanner
2720,ImageCast X/ICX DRE (Dominion),1320,DRE with VVPAT
2720,ImageCast Central/ICC (Dominion),11,Scanner
2721,ImageCast X/ICX BMD (Dominion),19,Ballot Marking Device
2721,ImageCast Central/ICC (Dominion),1,Scanner
2721,ImageCast Precint2/ICP2,2,Scanner
2722,ExpressVote (ES&S),60,Ballot Marking Device
2722,DS200 (ES&S),6,Scanner
2722,DS450 (ES&S),1,Scanner
2722,DS950 (ES&S),1,Scanner
2723,Other: VOTINGWORKS VXSUITE 3.1.2,1,Scanner
2724,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2725,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2727,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",2,Scanner
2728,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2729,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2730,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2731,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2732,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2733,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2734,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2735,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2736,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2737,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
