region_id,total_registered_voters,Moved,Death,Felony,Fail Response,Incompetent to Vote,Voter Request,Duplicate Records
2023,4199,454,48,0,39,0,11,32
2024,19627,1555,418,0,333,0,16,172
2025,74616,9188,781,3,3078,0,669,620
2026,4080,304,47,0,72,0,3,32
2027,27995,1984,544,0,459,0,28,164
2028,14307,1273,285,0,312,0,60,130
2029,25165,1973,441,1,552,0,34,268
2030,2723,168,19,0,129,0,7,53
2031,23733,2863,395,2,594,0,49,309
2032,43807,3755,982,0,874,0,45,521
2033,9217,575,105,1,169,0,170,40
2034,11814,878,179,0,77,0,28,41
2035,13655,1120,150,0,191,0,7,116
2036,14971,1125,309,0,181,0,169,147
2037,23720,1773,429,3,295,0,39,136
2038,5165,496,138,0,97,0,11,51
2039,7809,722,118,1,27,0,23,25
2040,78160,6457,1983,3,221,0,135,1109
2041,38425,4903,516,0,2061,0,43,404
2042,26669,2680,541,0,516,0,105,238
2043,8890,659,143,0,1,0,133,48
2044,44105,5423,690,0,375,0,45,347
2045,22047,2030,433,0,179,0,58,240
2046,25985,2630,340,0,19,0,45,133
2047,62044,5015,896,0,1791,0,102,559
2048,12860,937,177,0,199,0,21,31
2049,9599,771,111,0,163,0,24,54
2050,21034,1506,349,1,154,0,14,133
2051,3394,305,32,0,58,0,14,21
2052,4751,547,92,2,1,0,30,48
2053,57393,9686,675,12,1887,0,56,350
2054,18560,1855,391,0,19,0,11,124
2055,5736,424,114,0,50,0,4,41
2056,14500,1119,184,1,160,0,51,60
2057,25631,1813,526,0,619,0,25,200
2058,7459,486,109,3,166,0,8,27
2059,10487,700,138,0,196,0,15,31
2060,20728,1697,368,0,455,0,25,65
2061,37851,4505,541,0,824,0,46,483
2062,26422,3376,390,0,587,0,23,135
2063,10890,994,155,0,74,0,28,104
2064,19294,1725,213,0,1,0,11,136
2065,8732,622,157,0,184,0,29,58
2066,18610,1235,353,0,458,0,51,98
2067,17193,1284,273,0,187,0,27,156
2068,30654,2579,566,0,356,0,33,138
2069,10128,660,143,2,278,0,28,114
2070,3704,315,67,0,164,0,4,56
2071,13593,1144,244,0,244,0,19,57
2072,29122,3119,596,0,21,0,14,369
2073,41129,4599,588,1,3284,0,87,360
2074,18714,1640,388,0,539,0,14,71
2075,6475,725,112,0,17,0,6,48
2076,21107,2084,477,0,142,0,7,129
2077,4488,402,53,2,3,0,18,34
2078,14894,1134,235,0,267,0,26,102
2079,25665,2613,392,0,468,0,19,121
2080,8617,863,165,1,56,0,15,26
2081,9927,1022,113,0,2,0,3,102
2082,11067,849,155,0,23,0,15,43
2083,7265,912,120,0,1,0,9,48
2084,22060,1421,363,0,3,0,39,127
2085,25092,1699,334,0,230,0,86,81
2086,8120,556,97,0,15,0,2,59
2087,23317,2249,505,0,6,0,5,235
2088,7820,627,137,0,89,0,46,36
2089,67168,8059,1408,0,3812,0,46,989
2090,25362,2243,391,0,650,0,41,274
2091,14098,1015,174,0,129,0,22,71
2092,23027,2126,472,0,134,0,36,125
2093,20486,1547,331,0,144,0,12,77
2094,19496,2283,278,0,469,0,38,210
2095,12553,846,228,2,76,0,7,115
2096,43479,4486,965,3,212,0,35,443
2097,10117,764,195,0,257,0,23,41
2098,12871,1278,234,0,192,0,101,85
2099,19248,2227,343,0,63,0,24,146
2100,68872,5752,1115,0,772,0,59,604
2101,9810,882,233,0,2,0,10,58
2102,13320,1163,259,0,5,0,34,171
2103,11602,777,213,0,139,0,6,73
2104,6560,436,114,0,96,0,17,51
2105,12126,818,215,0,135,0,24,77
2106,8723,592,140,0,118,0,9,58
2107,20152,1785,611,0,2,0,15,179
2108,9263,834,188,0,2,0,18,84
2109,11674,1036,211,0,3,0,7,50
2110,10155,646,173,0,99,0,26,30
2111,4645,315,98,0,22,0,42,41
2112,21783,1811,462,0,226,0,23,221
2113,6070,428,121,0,17,0,8,33
2114,20560,1619,492,0,527,0,30,133
2115,8670,576,133,81,84,0,10,17
2116,14941,1033,270,33,75,0,19,154
2117,53144,4276,1046,1,1201,0,74,391
2118,2567,171,42,0,2,0,6,28
2119,4971,377,64,4,79,0,3,31
2120,13403,1309,321,0,47,0,36,60
2121,16751,1195,299,0,153,0,56,127
2122,19752,1443,464,1,400,0,32,66
2123,6128,479,140,1,74,0,2,45
2124,12064,1041,192,0,208,0,19,67
2125,438498,46819,5695,3,43757,0,169,6244
2126,18798,2251,301,0,62,0,22,430
2127,32683,3415,609,2,1147,0,21,384
2128,14247,1182,305,0,2,0,23,71
2129,4896,471,63,0,0,0,2,21
2130,9444,789,211,0,1,0,23,53
2131,13452,967,306,0,169,0,11,118
2132,4369,377,80,0,42,0,5,29
2133,3013,300,44,0,2,0,13,13
2134,7856,474,126,0,1,0,7,54
2135,4501,443,48,0,10,0,14,36
2136,4385,315,74,0,1,0,9,41
2137,2839,285,65,0,0,0,12,18
2138,11079,844,226,1,1,0,20,60
2139,11145,1231,183,1,345,0,14,150
2140,7744,482,95,0,121,0,6,40
2141,9181,656,167,0,217,0,7,59
2142,1746,132,35,0,41,0,5,11
2143,30353,2632,572,0,5,0,31,161
2144,15440,1354,319,0,290,0,46,132
2145,15377,1319,231,1,1,0,10,82
2146,2161,207,38,0,11,0,2,28
2147,4799,346,54,0,1,0,4,34
2148,15933,1148,253,0,153,0,13,43
2149,4679,400,96,0,51,0,4,14
2150,3744,241,62,0,2,0,6,7
2151,5545,528,89,0,4,0,18,24
2152,8959,734,177,0,7,0,9,55
2153,32467,2768,535,0,40,0,48,365
2154,9669,881,156,0,58,0,21,43
2155,4879,410,62,1,16,0,7,29
2156,19091,1561,401,0,901,0,20,142
2157,11151,1018,257,240,21,0,13,48
2158,2557,204,32,0,61,0,2,22
2159,854,62,8,0,0,0,0,3
2160,12099,1130,181,1,392,0,13,57
2161,13257,1082,262,0,192,0,11,61
2162,4059,370,78,0,13,0,2,33
2163,1602,136,34,0,1,0,19,12
2164,11006,841,188,0,88,0,20,77
2165,3772,277,67,0,51,0,0,21
2166,1094,85,18,0,4,0,0,10
2167,1475,143,18,0,0,0,1,16
2168,3156,244,70,1,30,0,17,36
2169,1127,91,15,0,1,0,7,12
2170,7592,541,80,0,99,0,11,9
2171,26953,2388,515,0,522,0,46,190
2172,7736,716,93,1,59,0,2,64
2173,14593,1124,217,0,15,0,9,259
2174,9708,869,207,1,2,0,18,56
2175,6819,608,135,0,57,0,7,41
2176,7937,815,122,1,13,0,13,48
2177,7916,761,99,6,91,0,10,41
2178,6565,556,128,0,2,0,7,47
2179,6774,586,93,0,3,0,1,52
2180,12021,733,196,0,272,0,29,88
2181,4089,315,84,0,0,0,8,7
2182,13681,2107,321,0,2,0,46,94
2183,14196,1439,238,0,241,0,16,88
2184,6062,474,171,0,1,0,4,41
2185,3163,281,96,0,0,0,13,42
2186,6976,516,109,0,27,0,4,32
2187,8271,643,155,0,33,0,15,60
2188,118940,9759,2362,1,4176,0,115,2359
2189,10638,42,421,0,76,0,4,0
2190,7725,41,241,0,80,0,27,0
2191,101147,358,2129,0,729,0,63,0
2192,25320,44,854,0,184,0,17,0
2193,23324,142,707,0,188,0,35,0
2194,13306,40,477,0,71,0,7,0
2195,6941,33,196,0,66,0,3,0
2196,53002,181,1141,0,427,0,28,0
2197,87842,213,2522,0,466,0,48,0
2198,17172,135,485,0,125,0,11,0
2199,136948,1091,3461,0,3413,0,169,0
2200,35394,151,979,0,368,0,22,0
2201,112459,423,3242,0,1181,0,68,0
2202,46157,333,1288,0,776,0,39,0
2203,24284,161,709,0,199,0,51,0
2204,23814,136,772,0,181,0,56,0
2205,28376,108,795,0,239,0,18,0
2206,27108,110,866,0,175,0,19,0
2207,65532,194,1364,0,672,0,50,0
2208,12740,57,419,0,205,0,17,0
2209,33099,127,988,0,296,0,22,0
2210,23831,187,752,0,460,0,46,0
2211,90814,305,2145,0,1063,0,102,0
2212,31242,178,822,0,665,0,59,0
2213,356289,1401,9859,0,3066,0,242,0
2214,22935,77,760,0,304,0,20,0
2215,14009,136,480,0,291,0,12,0
2216,84004,498,1877,0,1044,0,91,0
2217,29764,75,940,0,190,0,23,0
2218,38878,213,978,0,500,0,27,0
2219,27942,407,731,0,471,0,39,0
2220,26679,93,885,0,175,0,12,0
2221,221756,903,4559,0,5616,0,410,0
2222,49588,135,1093,0,303,0,28,0
2223,23688,91,914,0,172,0,40,0
2224,11002,96,395,0,233,0,16,0
2225,49935,140,1139,0,453,0,32,0
2226,128239,426,3324,0,1044,0,122,0
2227,216493,821,4667,0,4295,0,257,0
2228,17419,76,489,0,153,0,22,0
2229,524644,2571,9739,0,7365,0,626,0
